perturbation,ood
s36566,False
s20056,False
s18088,False
s28939,False
s20016,False
s27448,False
s18268,False
s228535,False
s21002,False
s36629,False
n337250,False
s19588,False
s37904,False
s39246,False
s38789,False
s21017,False
s38627,False
s38521,False
s19486,False
s18911,False
s39091,False
s224186,False
s13580,False
s37597,False
s28834,False
s501351,False
s228500,False
s20450,False
s20214,False
s37479,False
s501339,False
s36286,False
s28969,False
s26915,False
s36029,False
s21496,False
s223097,False
s18769,False
s28441,False
s29190,False
s24587,False
s39003,False
s37434,False
s28874,False
s36460,False
s28820,False
s20523,False
s20724,False
s18881,False
s38759,False
s18923,False
s20264,False
s27101,False
s195427,False
s38848,False
s19827,False
s20555,False
s39044,False
s20336,False
s19223,False
s1174,False
s224944,False
s501323,False
s19972,False
s20437,False
s14484,False
s27330,False
s228528,False
s29187,False
s37414,False
s28095,False
s7128,False
s36151,False
s37601,False
s37295,False
s20747,False
s18582,False
s19869,False
s224933,False
s19606,False
s20391,False
s18980,False
s27738,False
s19901,False
s20712,False
s195030,False
s18742,False
s228544,False
s21308,False
s195493,False
s29452,False
s18823,False
s39083,False
s20642,False
s20435,False
s19492,False
s39284,False
s19004,False
s39244,False
s19163,False
EMPTY,False
s19836,False
s28283,False
s21692,False
s19115,False
s20053,False
s348,False
s225425,False
s224234,False
s39161,False
s20288,False
s501307,False
s19519,False
s18250,False
s18757,False
s18325,False
s20818,False
s36846,False
s18562,False
s36675,False
s224303,False
s28170,False
s21501,False
s21486,False
s27766,False
s555,False
s501357,False
s27603,False
s27215,False
s223130,False
s28400,False
s27898,False
s228475,False
s20383,False
s28735,False
s28827,False
s27359,False
s8645,False
s21303,False
s20305,False
s37581,False
s20683,False
s39448,False
s20031,False
s21474,False
s20238,False
s26897,False
s19747,False
s501295,False
s27919,False
s21279,False
s29098,False
s20679,False
s37990,False
s36560,False
s317,False
s228517,False
s39538,False
s28022,False
s39170,False
s28165,False
s20429,False
s18550,False
s19139,False
s5459,False
s21439,False
s20575,False
s39258,False
s29406,False
s20208,False
s224912,False
s19792,False
s38598,False
s19923,False
s37253,False
s706,False
s27862,False
s28690,False
s38370,False
s39418,False
s195228,False
s39389,False
s27660,False
s19886,False
s38736,False
s28650,False
s18971,False
s195210,False
s195435,False
s37896,False
s633,False
s19178,False
s18334,False
s200474,False
s37712,False
s28274,False
s39347,False
s38965,False
s501342,False
s12279,False
s19720,False
s225423,False
s20578,False
s19984,False
s1998,False
s38409,False
s28113,False
s37634,False
s27949,False
s20651,False
s37782,False
s38228,False
s224310,False
s38956,False
s18872,False
s17960,False
s27825,False
s38601,False
s21670,False
s18652,False
s200515,False
s28737,False
s502431,False
s19789,False
s28996,False
s18527,False
s26953,False
s27693,False
s36128,False
s21687,False
s29340,False
s200549,False
s35988,False
s224177,False
s19804,False
s27414,False
s28053,False
s18157,False
s20454,False
s20462,False
s19214,False
s20142,False
s27042,False
s26905,False
s36468,False
s20348,False
s29602,False
s27807,False
s19169,False
s36243,False
s27228,False
s20297,False
s195242,False
s20091,False
s38395,False
s20231,False
s15652,False
s224967,False
s38604,False
s28916,False
s36921,False
s19446,False
s27657,False
s38221,False
s18941,False
s21433,False
s195027,False
s502432,False
s228536,False
s28824,False
s20487,False
s19067,False
s18658,False
s27156,False
s20145,False
s37433,False
s21637,False
s36577,False
s20471,False
s3887,False
s19834,False
s28041,False
s17619,False
s17831,False
s224240,False
s224238,False
s21571,False
s20312,False
s21588,False
s224189,False
s28666,False
s228527,False
s18944,False
s37827,False
s20744,False
s18998,False
s224191,False
s21543,False
s19876,False
s20670,False
s26913,False
s18442,False
s36107,False
s36819,False
s36504,False
s228533,False
s224289,False
s37115,False
s21006,False
s38334,False
s36544,False
s200475,False
s21507,False
s27150,False
s37969,False
s501309,False
s36733,False
s18427,False
s37799,False
s35651,False
s28372,False
s18992,False
s20197,False
s39299,False
s27873,False
s20857,False
s225422,False
s28496,False
s228506,False
s27646,False
s21694,False
s19193,False
s19199,False
s27586,False
s27222,False
s39402,False
s19585,False
s27116,False
s27451,False
s21472,False
s19821,False
s19651,False
s36596,False
s39296,False
s37926,False
s21412,False
s21646,False
s39264,False
s39248,False
s19358,False
s224181,False
s20991,False
s224918,False
s37586,False
s20021,False
s20479,False
s17780,False
s19996,False
s39366,False
s27999,False
s28808,False
s28880,False
s27810,False
s28195,False
s20102,False
s19121,False
s21290,False
s38230,False
s19750,False
s18313,False
s20104,False
s36196,False
s228546,False
s21651,False
s19289,False
s20717,False
s224940,False
s36936,False
s20860,False
s38081,False
s18974,False
s20695,False
s19839,False
s225432,False
s27053,False
s19615,False
s19757,False
s27876,False
s4165,False
s18830,False
s28799,False
s28764,False
s21515,False
s18965,False
s19400,False
s20954,False
s19857,False
s18679,False
s19687,False
s19313,False
s21560,False
s28401,False
s20286,False
s27394,False
s28343,False
s20477,False
s2947,False
s38015,False
s19455,False
s36691,False
s21151,False
s224941,False
s36538,False
s19295,False
s18196,False
s39216,False
s38470,False
s26889,False
s225441,False
s228512,False
s20794,False
s228501,False
s21424,False
s37967,False
s21295,False
s36156,False
s20777,False
s224930,False
s501392,False
s20029,False
s36550,False
s19801,False
s28710,False
s224902,False
s39491,False
s224921,False
s19025,False
s19217,False
s29303,False
s224188,False
s37188,False
s39303,False
s37691,False
s18721,False
s21556,False
s18676,False
s19873,False
s39233,False
s195247,False
s19904,False
s19977,False
s21313,False
s19911,False
s18640,False
s36401,False
s37284,False
s19894,False
s18938,False
s20782,False
s28599,False
s15788,False
s21121,False
s20627,False
s37149,False
s39151,False
s37451,False
s20338,False
s18457,False
s18502,False
s36153,False
s224173,False
s21454,False
s38404,False
s27350,False
s38294,False
s37979,False
s194768,False
s19861,False
s18902,False
s19489,False
s20365,False
s37855,False
s28312,False
s38093,False
s20873,False
s19899,False
s20211,False
s20073,False
s28071,False
s28178,False
s28524,False
s37122,False
s27181,False
s37898,False
s225421,False
s39180,False
s20048,False
s20468,False
s18634,False
s21655,False
s17705,False
s27713,False
s37314,False
s228510,False
s20446,False
s39512,False
s21129,False
s38801,False
s18391,False
s36208,False
s20630,False
s21124,False
s21757,False
s28057,False
s20130,False
s195079,False
s27550,False
s37498,False
s36426,False
s36951,False
s20949,False
s17664,False
s28809,False
s37489,False
s19355,False
s18070,False
s21141,False
s36227,False
s21071,False
s20040,False
s19247,False
s20549,False
s21485,False
s39185,False
s20076,False
s35966,False
s18460,False
s18836,False
s28480,False
s38273,False
s28779,False
s20694,False
s19753,False
s26956,False
s36168,False
s27880,False
s228480,False
s20539,False
s29047,False
s38106,False
s21662,False
s224176,False
s20099,False
s36260,False
s29313,False
s39312,False
s224960,False
s225431,False
s18697,False
s38490,False
s36595,False
s28522,False
s37673,False
s39469,False
s29560,False
s28355,False
s20803,False
s20834,False
s21625,False
s37144,False
s20830,False
s224907,False
s19648,False
s134,False
s20097,False
s19172,False
s38314,False
s28299,False
s28837,False
s224169,False
s27327,False
s18851,False
s20635,False
s29428,False
s28794,False
s38258,False
s29114,False
s27612,False
s19582,False
s28905,False
s19211,False
s766,False
s27341,False
s35961,False
s20827,False
s37901,False
s36837,False
s38090,False
s20432,False
s19854,False
s19842,False
s28672,False
s19319,False
s37429,False
s20019,False
s37346,False
s28390,False
s38095,False
s20171,False
s19957,False
s37376,False
s39061,False
s27086,False
s36489,False
s20441,False
s39123,False
s21480,False
s29535,False
s37096,False
s17634,False
s29200,False
s27261,False
s20512,False
s20591,False
s29108,False
s27924,False
s21197,False
s37483,False
s21347,False
s28531,False
s29285,False
s36252,False
s20601,False
s224300,False
s224223,False
s19805,False
s29073,False
s224928,False
s18520,False
s28132,False
s28893,False
s28429,False
s19501,False
s21714,False
s21456,False
s20737,False
s27031,False
s28135,False
s195482,False
s21663,False
s225418,False
s38649,False
s20240,False
s21398,False
s37808,False
s21550,False
s224948,False
s27502,False
s19477,False
s37347,False
s19935,False
s20821,False
s39458,False
s27662,False
s28745,False
s20705,False
s19810,False
s39194,False
s228479,False
s20002,False
s37894,False
s36390,False
s18914,False
s19268,False
s38964,False
s28593,False
s18766,False
s18019,False
s20902,False
s21673,False
s27922,False
s19909,False
s20464,False
s37140,False
s28120,False
s36386,False
s37706,False
s27467,False
s21311,False
s20327,False
s36346,False
s20734,False
s224965,False
s19975,False
s19780,False
s36989,False
s20638,False
s18622,False
s28548,False
s27606,False
s28016,False
s38190,False
s223122,False
s21449,False
s29270,False
s38988,False
s28970,False
s28744,False
s20323,False
s20120,False
s20596,False
s223129,False
s19346,False
s27224,False
s27669,False
s20008,False
s20014,False
s36046,False
s195047,False
s29116,False
s20681,False
s18625,False
s36255,False
s39443,False
s27672,False
s37382,False
s29111,False
s21707,False
s223847,False
s20573,False
s223115,False
s18887,False
s18718,False
s38249,False
s38165,False
s37951,False
s26997,False
s20410,False
s27323,False
s20607,False
s20919,False
s38630,False
s20688,False
s28026,False
s223181,False
s18962,False
s37050,False
s21020,False
s39556,False
s27455,False
s21735,False
s37095,False
s21059,False
s18817,False
s27847,False
s37964,False
s38880,False
s36038,False
s224219,False
s21366,False
s18787,False
s36853,False
s28471,False
s21494,False
s37182,False
s383,False
s37564,False
s20226,False
s27411,False
s27243,False
s28457,False
s27711,False
s38139,False
s38384,False
s37997,False
s20044,False
s20546,False
s224307,False
s35991,False
s19754,False
s18848,False
s29254,False
s21063,False
s29309,False
s27049,False
s27198,False
s37805,False
s224963,False
s21733,False
s223106,False
s19979,False
s20867,False
s29524,False
s37078,False
s225427,False
s37205,False
s20175,False
s39380,False
s27572,False
s37388,False
s28220,False
s29185,False
s20566,False
s21191,False
s20388,False
s21353,False
s37471,False
s19897,False
s19761,False
s223100,False
s20917,False
s19961,False
s20403,False
s20132,False
s20394,False
s26950,False
s37261,False
s21212,False
s27043,False
s18712,False
s19037,False
s28630,False
s28116,False
s27615,False
s19866,False
s224288,False
s224935,False
s28682,False
s37668,False
s20426,False
s37305,False
s21467,False
s224190,False
s228540,False
s27895,False
s394,False
s19945,False
s21325,False
s19394,False
s18724,False
s28407,False
s19103,False
s21535,False
s18784,False
s228529,False
s38653,False
s225440,False
s27017,False
s28675,False
s20184,False
s18310,False
s20407,False
s29093,False
s19010,False
s224958,False
s36609,False
s38193,False
s28303,False
s18730,False
s225436,False
s19154,False
s29502,False
s20317,False
s19073,False
s18893,False
s38022,False
s29367,False
s195006,False
s36698,False
s27652,False
s37961,False
s38087,False
s28162,False
s18694,False
s19732,False
s228513,False
s21045,False
s19079,False
s224293,False
s17957,False
s21048,False
s18763,False
s256,False
s228518,False
s20061,False
s19939,False
s37036,False
s17975,False
s20330,False
s21225,False
s650,False
s19160,False
s20707,False
s39171,False
s27624,False
s20159,False
s19819,False
s21318,False
s195042,False
s19660,False
s224158,False
s27544,False
s39308,False
s224224,False
s37793,False
s36272,False
s20345,False
s38253,False
s28884,False
s38808,False
s20080,False
s18920,False
s28184,False
s18592,False
s21499,False
s20946,False
s27167,False
s28953,False
s20268,False
s37874,False
s19001,False
s19927,False
s18493,False
s26900,False
s39547,False
s38152,False
s223090,False
s29024,False
s20444,False
s20592,False
s20664,False
s37010,False
s28385,False
s20645,False
s20246,False
s35994,False
s19917,False
s29084,False
s19579,False
s223098,False
s21276,False
s27383,False
s29342,False
s38545,False
s28352,False
s36117,False
s20192,False
s28908,False
s29419,False
s28540,False
s20876,False
s29500,False
s228524,False
s29104,False
s20109,False
s19513,False
s39464,False
s36717,False
s39156,False
s29470,False
s21658,False
s20623,False
s20401,False
s37207,False
s28813,False
s20290,False
s18100,False
s18613,False
s20584,False
s19322,False
s18905,False
s27901,False
s21620,False
s39023,False
s225428,False
s39238,False
s19684,False
s225426,False
s20551,False
s27069,False
s39253,False
s37678,False
s195021,False
s36323,False
s18478,False
s20483,False
s28370,False
s36915,False
s17861,False
s27012,False
s380,False
s19741,False
s20496,False
s20359,False
s19603,False
s27844,False
s21605,False
s19714,False
s21319,False
s29078,False
s28605,False
s195244,False
s37040,False
s26902,False
s29057,False
s38290,False
s20452,False
s20923,False
s27892,False
s21704,False
s18986,False
s39020,False
s18950,False
s20361,False
s21597,False
s19055,False
s21529,False
s18583,False
s39356,False
s18637,False
s39068,False
s29162,False
s38133,False
s20853,False
s20422,False
s19205,False
s29345,False
s27388,False
s36985,False
s20110,False
s28361,False
s19576,False
s20367,False
s19846,False
s37866,False
s28715,False
s38018,False
s28775,False
s36091,False
s225417,False
s21163,False
s20915,False
s224179,False
s20256,False
s18778,False
s29291,False
s38120,False
s20533,False
s17744,False
s36529,False
s39046,False
s27192,False
s20985,False
s20894,False
s20888,False
s27627,False
s21717,False
s29274,False
s36965,False
s27298,False
s223144,False
s20837,False
